username,userid,time,id,text,davidson,waseem,fountana
Richard Marx,@richardmarx,31516201,1253535117269594112,Dear sane people: Whenever some Trump worshiping MAGAt mentions Joe Biden being “creepy” just send them this photo.  ,0.042912969859036365,0.22418565045125657,0.022238368
Mrs.  Cooper,@mlcooper63,1587681286,1253535117269594112,Replying to @richardmarx Grotesque.  ,0.1637464125954706,0.0830874384558958,0.024899248
Teresa Scarborough,@tmscarborough,1587681289,1253535117269594112,Replying to @richardmarx  GIF ,0.14074956741991265,0.10212028214486892,0.012043119
ManoloGal,@ManoloGal,1587681294,1253535117269594112,Replying to @richardmarx or the video the kinda resembles a lap dance.  ,0.02882023841811288,0.1716735364345486,0.045971423
Biden’s Watch,@ChrisVarnerNC,1587681330,1253535117269594112,Replying to @richardmarx  GIF ,0.14074956741991265,0.10212028214486892,0.012043119
Angry Smurf,@CwCreamer,1587681331,1253535117269594112,Replying to @richardmarx  GIF ,0.14074956741991265,0.10212028214486892,0.012043119
MrsAugustyn,@mrsaugustyn,1587681338,1253535117269594112,Replying to @richardmarx “If she wasn’t my daughter I’d probably date her”   ,0.08663903894810752,0.20445816991596982,0.0555159
Chris,@LCSeward,1587681345,1253535117269594112,Replying to @richardmarx  GIF ,0.14074956741991265,0.10212028214486892,0.012043119
ARNIE MARTINEZ ,@ArnieMartinez8,1587681346,1253535117269594112,Replying to @richardmarx I still can't get my head round that picture. It's just eeeeewwwwww!!!!   ,0.5379086701519515,0.05703519489862837,0.16327585
Beaufighter,@Beaufighter_MkI,1587681349,1253535117269594112,"Replying to @richardmarx Still so gross, no matter how many times I've seen it  ",0.8177874853633261,0.10435392927892229,0.24625392
Jackie,@jackieb710,1587681392,1253535117269594112,Replying to @richardmarx Ugh...can we keep kids off limits...that's her dad...plz. positive vibes!! GIF ,0.10366770832832004,0.41247903912351896,0.029634451
It’s None of Your Business ,@Iwillnotmelt,1587681398,1253535117269594112,Replying to @richardmarx Hold my beer!  ,0.16880476146669837,0.05787412705877266,0.41337377
Runcator,@Runcat0r,1587681404,1253535117269594112,Replying to @richardmarx And this ...  ,0.12038235011656655,0.21863814331700004,0.018922668
Martin Pedersen,@martymcsuperfly,1587681423,1253535117269594112,Replying to @richardmarx So. Fuckin’. Gross.  ,0.5708549050027645,0.09487953695841687,0.9312922
Tompostable,@tompostable,1587681425,1253535117269594112,Replying to @richardmarx Maybe his target demographic is people who date within the family  ,0.051373463774512955,0.1162846911164167,0.019854
Deez Masks Saves Lives,@BackDeez,1587681427,1253535117269594112,Replying to @richardmarx   ,0.14510263332204673,0.03352323163434365,0.012803084
Steven Heath,@Traylah_Parx,1587681446,1253535117269594112,"Replying to @richardmarx Well, I can't wait to see how your haters respond - trying to spin it into something wholesome and holy.  ",0.01660493939407673,0.06902852653257653,0.016893188
Elliott Miller,@ECLMiller,1587681449,1253535117269594112,Replying to @richardmarx   ,0.14510263332204673,0.03352323163434365,0.012803084
Lαυɾα,@laura4sure,1587681454,1253535117269594112,Replying to @richardmarx Or this   ,0.11143357263200157,0.05318390130991378,0.01487166
 STEVE ,@stevethefirst,1587681463,1253535117269594112,He’d still have to pay her.  ,0.4434779044727894,0.12303340991542804,0.11221606
waiting for an alien abduction,@north_49th,1587681473,1253535117269594112,Yeppppp  ,0.24397549912373448,0.01377414659072344,0.1234505
ChadLindberg,@ChadLindberg,1587681486,1253535117269594112,Replying to @richardmarx A classic!!   ,0.10702551294885122,0.09364674412582139,0.042972606
aurora,@notyourgirl77,1587681534,1253535117269594112,Replying to @richardmarx Hahahahahah!  ,0.06345278091984329,0.0455238051216121,0.048755515
What's so funny about love peace &understanding,@amymac1008,1587681560,1253535117269594112,Replying to @richardmarx Horrific  ,0.5057260230336036,0.05924809606483635,0.023668671
Ceejae,@Jojosmama1969,1587681566,1253535117269594112,Replying to @richardmarx Lmaoooo  ,0.1593572637218245,0.045898346966345156,0.019851806
ToddaVee,@ToddaVee,1587681574,1253535117269594112,Replying to @richardmarx   ,0.14510263332204673,0.03352323163434365,0.012803084
Spencer B. Tracy ,@CaptainsGuess,1587681586,1253535117269594112,"Replying to @richardmarx ""Call me Daddy."" GIF ",0.1817041626916366,0.14415985133330853,0.015568308
richie rich,@richsuckass,1587681640,1253535117269594112,Replying to @richardmarx Choosing between two creepy sundowners isn't something everyone is comfortable with and it didn't have to be that way  ,0.03950722756101835,0.07026948814085864,0.02199109
Mike B,@PuzzlerMike,1587681648,1253535117269594112,"Replying to @richardmarx Wait...
Is that?
No
Noooooo   ",0.2750878589672576,0.1600323465042956,0.08675449
john lynch,@LynchOnTheLane,1587681674,1253535117269594112,Replying to @richardmarx Or this......  ,0.12119827891098094,0.2114149588093472,0.018517872
Kenan Turnbull,@foniker,1587681719,1253535117269594112,  ,1.7657473994997906e-130,0.018132475529601334,0.010068049
