,username,userid,time,id,text,davidson,waseem,fountana
0,Kannan Gopinathan,@naukarshah,31516201.0,1265297915221667840,"Among countries with more than 1 lakh cases, India has the second fastest doubling rate. Please tell your ministers to not fool people into a false sense of security dear PM @narendramodi. Please.  ",0.0013455096944431574,0.4474951997729678,0.031078892
113,The Professor,@TheProfsrSpeaks,1590485833.0,1265297915221667840,Replying to @naukarshah and @narendramodi Nothing matters sir. The only that thing matters is that whether Ram Mandir is being built or not. We will learn our lessons sooner but at a heavy cost.  ,0.005935146362965071,0.4676215094548141,0.021550747000000002
24,ⒷⒽⒶⓉ ,@khan_046,1590485849.0,1265297915221667840,Replying to @naukarshah and @narendramodi @princemajeed005  ,0.12644551759541547,0.19468657876713816,0.01673862
27,NISHANT,@evrytngLOG1,1590485910.0,1265297915221667840,Replying to @naukarshah and @narendramodi Sir plz tell source of this report.  ,0.21429529911955655,0.16832669168680162,0.010116483
115,Sandeep Agarwal,@san1suresh,1590485915.0,1265297915221667840,"Replying to @naukarshah and @narendramodi Kannan baba, this is not how you compare. You compare what was the rate for each country when they were 1lacs. Most of these countries were under 10 days then, we are at 14.
We have lots of problems dont compound them by your bad read of data.  ",0.7457850131280734,0.6089333661468183,0.029416453
31,A. Hussain,@Hussain291985,1590485918.0,1265297915221667840,Replying to @naukarshah and @narendramodi Modi ji will turn the tables and use media to show that COVID19 is nothing.. he will again indulge people in thaali and taali stunts  ,0.12940709854953605,0.4623073876549483,0.023734206
147,Adonai,@AdonSaju34,1590485928.0,1265297915221667840,Replying to @naukarshah and @narendramodi And the lowest test per million ratio  ,0.128784995031802,0.34113171128939296,0.016383411
8,Adonai,@AdonSaju34,1590485990.0,1265297915221667840,Replying to @naukarshah and @narendramodi Karnataka going to open temples from the 1st of next month  ,0.09060116016891147,0.21952569000107672,0.013726651000000001
32,AWADHESH YADAV,@AWADHESHYADAV2,1590486022.0,1265297915221667840,Replying to @naukarshah and @narendramodi Right  ,0.1336311429033538,0.25665315912475434,0.02436152
10,Ashok Sachdeva,@AshokSa52041852,1590486050.0,1265297915221667840,Replying to @naukarshah and @narendramodi 1st i thought that bjp ( modi ) work for name & fame but in this time of pendemic it is clear that money matters for bjp  ,0.006938654380644145,0.30846396678420546,0.036390062
12,Wajeeh వజీహ్,@wajeeh0s,1590486051.0,1265297915221667840,"Replying to @naukarshah and @narendramodi @naukarshah  Sir, recently what I heard from my relatives is that NPR (Census) work is being done on ground, most of the muslim dominated areas are being called as false red zones and this activity is getting completed, is it true?  ",0.0024093721970560003,0.7146572481063819,0.024046049
33,Ravi,@ravee02,1590486112.0,1265297915221667840,Replying to @naukarshah and @narendramodi This is what many were wanting right from beginning ..  ,0.11879573426808462,0.40973843246782576,0.013317551
157,★ S P A D E ★,@krishna_933430,1590486143.0,1265297915221667840,"Replying to @naukarshah and @narendramodi bhaii please app hi vaccine discover kar do ,china doctor abhi bola hai ye ice berg ka tip hai second wave ana baki hai islea china 108 million people ko fir lockdown kar diya hai  ",2.6458901947834572e-05,0.4116865702840448,0.017874435
148,★ S P A D E ★,@krishna_933430,1590486198.0,1265297915221667840,ha 140 crore population hai na ki america ka 33 crore population  ,0.014886717180446419,0.2627232950928381,0.016527046
