username,userid,time,id,text,davidson,waseem,fountana
Marjorie Taylor Greene ,@mtgreenee,31516201,1349514160749633536,"On January 21, 2021, I'll be filing Articles of Impeachment against Joe Biden for abuse of power.

#ImpeachBiden
#QuidProJoe
#BidenCrimeFamilly  ",0.028440277911139098,0.23894032880786398,0.07451479
Jessica,@Jm1982b,1610564438,1349514160749633536,Replying to @mtgreenee Yesssssss  ,0.14541929605339493,0.02484117545386286,0.028503992
𝔫𝔞𝔤𝔶 𝔪𝔦𝔫𝔞𝔧,@keithlnagy,1610564457,1349514160749633536,Replying to @mtgreenee   ,0.13153415816147554,0.03352323163434365,0.008889697
Angela  ARREST THE HOMEGROWN TERRORISTS,@AorteggaN,1610564459,1349514160749633536,Replying to @mtgreenee   ,0.13153415816147554,0.03352323163434365,0.008889697
Kip Herriage,@KHerriage,1610564462,1349514160749633536,Replying to @mtgreenee You get it.  ,0.15101060622517554,0.11261173025187528,0.015167936
Karissa Marie,@karmarvar,1610564463,1349514160749633536,Replying to @mtgreenee Well that’ll be stupid  ,0.558715846198618,0.20223606040128345,0.045555983
,@aquaticnick,1610564484,1349514160749633536,Replying to @mtgreenee @SpeakerPelosi Does Congress drug test? GIF ,0.1338588438231628,0.17310937112090866,0.02955878
 عراقي و تشريني للنخاع ,@Teshrini1,1610564499,1349514160749633536,Replying to @mtgreenee About time;  u succeed   GIF ,0.168617496675122,0.09327523432721611,0.012550415
S _ D,@s_effen_d,1610564501,1349514160749633536,Replying to @mtgreenee  GIF ,0.12752742405385886,0.10212028214486892,0.0079959445
Bob Edwards,@bobedwards2679,1610564507,1349514160749633536,Replying to @mtgreenee You are a true patriot 75 million people are with you!!  ,0.07238395273693822,0.2439728629036456,0.025436826
Maddie Powell,@MadPow77,1610564513,1349514160749633536,Replying to @mtgreenee I am embarrassed that a woman rep is such a toadie.  ,0.3888262499002226,0.2764193461336695,0.06554508
Morning STAR,@Morning65702082,1610564516,1349514160749633536,Replying to @mtgreenee And just as I think you could not look even more ridiculous than you did today.  ,0.09621636584220158,0.24389791205893183,0.01355834
Paul kristensen,@KristensenPaul,1610564518,1349514160749633536,Replying to @mtgreenee Resign MTG! The following media includes potentially sensitive content. Change settingsView ,0.06382255045185828,0.11687542199981689,0.023592109
Brad Barrett,@Blackmetalbrad,1610564524,1349514160749633536,Replying to @mtgreenee For what hahaha dude ain't even in office yet come on  ,0.15065983038939768,0.12221956670958278,0.040942423
Dylan,@Dylanwryter,1610564524,1349514160749633536,Abuse of power... What abuse? He isn't even in office yet.  ,0.6868607841189366,0.14311730271476353,0.41648477
$2000 CHECKS NOW,@Skepacabra,1610564527,1349514160749633536,Replying to @mtgreenee Glad this is how public record as evidence you have no basis and are just out for vengeance. Thank you for that.  ,0.05922463881829921,0.23140472688977012,0.017388035
Otto Huang ,@OttoHuang120,1610564527,1349514160749633536,Replying to @mtgreenee Biden won by cheating.  ,0.26809600653645876,0.1415106402418927,0.020237315
@AmyBushless,@amybushless,1610564538,1349514160749633536,"Replying to @mtgreenee I thought you were ""booked up"" for that day?  ",0.019946854469959276,0.08598471481312518,0.020319233
Kevin Monsour ,@ThatLawGuyKev,1610564554,1349514160749633536,Replying to @mtgreenee A President-elect who isn't in power has abused that power that he doesn't have? Your logic is sound.  ,0.011474579843184268,0.2578700965772068,0.022639325
Johnny Fox® ,@JohnnyF75507588,1610564562,1349514160749633536,Replying to @mtgreenee Somebody who has Backbone ...  ,0.1844865382975648,0.20476812357960403,0.01720247
Mrs.A,@shushiepie45,1610564564,1349514160749633536,"Replying to @mtgreenee And if you succeed, our prize is Kamala Harris. Win/Lose situation  ",0.012070859023638351,0.27961248061330884,0.012280912
 Anne From Maine ,@AnneFromMaine,1610564574,1349514160749633536,Replying to @mtgreenee WHATABOUT Hillary's e-mails tho?  ,0.21441787398589937,0.157870184468536,0.01277802
Jen,@LilMissJen23,1610564591,1349514160749633536,Replying to @mtgreenee  GIF ,0.12752742405385886,0.10212028214486892,0.0079959445
Mrs. Marple,@MrsMarple18,1610564610,1349514160749633536,Replying to @mtgreenee   I'm not laughing with you. I'm laughing AT you.  ,0.7020081676276747,0.0852488589672939,0.14499283
Connie,@dancinglight4u,1610564624,1349514160749633536,Replying to @mtgreenee   ,0.13153415816147554,0.03352323163434365,0.008889697
Joanne Filipowicz,@flipside672,1610564641,1349514160749633536,"Replying to @mtgreenee So proud of you.  I have hope tonight because of what I just heard from you on Newsmax !
God Bless you !
The American people need you!  ",0.041631176288686705,0.3330187042356546,0.009788479
Rodiliketoparty,@NoviceMindReadr,1610564681,1349514160749633536,Replying to @mtgreenee Maybe write down the tweet on paper first and look at it for... a minute or two?  ,0.04501019218914471,0.11978053478256216,0.013912875
Jennifer Lynn,@jen_the_rn,1610564691,1349514160749633536,"Replying to @mtgreenee Isn’t the healthcare pretty good for Congress? Time to check in with a mental health expert.

@FBI @HouseJudiciary should probably verify this one isn’t carrying weapons in to work.  ",0.001345471382346081,0.44386303637564745,0.038943276
Marjorie Taylor Greene ,@mtgreenee,1610564727,1349514160749633536,"Replying to @mtgreenee #ImpeachBiden
#QuidProJoe
#BidenCrimeFamily  ",0.041494284493131486,0.06240071516123639,0.019937325
Joe Daum,@JoeDaum,1610564807,1349514160749633536,Replying to @mtgreenee That has as much chance of passing as you getting reelected.  Your district should be embarrassed to have you ss their rep.  ,0.6420936735011483,0.2989035263443535,0.0375051
