username,userid,time,id,text,davidson,waseem,fountana
Stephen King,@StephenKing,31516201,1281758185020424193,"Trump has commuted Roger Stone's 40-month sentence. Every time you think the Orange Man has hit the gutter, he bounces lower.  ",0.5985454939810657,0.24272691344802272,0.21084067
Sorgon,@sorgonLuL,1594410161,1281758185020424193,Replying to @StephenKing Just plain corruption and abuse of power.  ,0.33417350952754266,0.17904821910639548,0.6859243
GoThenThereAreOtherWorldsThanThese,@KatieRobinMann,1594410164,1281758185020424193,Replying to @StephenKing   ,0.14510263332204673,0.03352323163434365,0.015092164
"Keely Parrack - MORNING, SUNSHINE! is out!",@keelyinkster,1594410165,1281758185020424193,Replying to @StephenKing Like an orange rubber ball  ,0.040066067437741444,0.15592397886150589,0.025872497
WearUrMask ,@EstebanMichaels,1594410166,1281758185020424193,Replying to @StephenKing There is no bottom  ,0.1891623905769823,0.14507737744570262,0.032592043
Max,@UnsettlingStory,1594410180,1281758185020424193,Replying to @StephenKing He dreams of reaching the gutter.  ,0.13142343056085534,0.08126178670789805,0.010550011
Abbey-GOP are Fuckers-Rhoade,@AbbeyRhoade,1594410187,1281758185020424193,Replying to @StephenKing You should write a book about an evil man who tries to take down the entire human race.  ,0.1834377108022998,0.381141009982107,0.018566344
J-San ,@lawdood,1594410192,1281758185020424193,Replying to @StephenKing Even Pennywise looks down on him now.  ,0.27431931355541284,0.12265832887190994,0.080299705
Gracie,@ghpanousis,1594410239,1281758185020424193,"Replying to @StephenKing If the virus is so bad that stone can’t stay in jail, why is it okay for kids to be in school? (Not my original thought but it’s a good question).  ",0.1172424693972142,0.47890786317443157,0.023920082
Dave,@OCDLifeCA,1594410246,1281758185020424193,"Replying to @StephenKing The question is, how low will he go?  ",0.44050250398099733,0.2613224268966965,0.024460955
Latrice Y Castillo,@mochamomma75,1594410276,1281758185020424193,Replying to @StephenKing They all float down there #RogerStoneIsACriminal #TrumpIsNotWell  ,0.04334055988041727,0.23564277516781887,0.056058895
#Adelante,@nicharcourt,1594410283,1281758185020424193,Replying to @StephenKing He lives in a bottomless pit of shit.  ,0.993526563490037,0.1305687752838726,0.9141172
Peter (Only you can stop stolen elections).,@pbreed3,1594410290,1281758185020424193,Replying to @StephenKing   ,0.14510263332204673,0.03352323163434365,0.015092164
andy  johnson,@rockmarne,1594410296,1281758185020424193,"Replying to @StephenKing I think potus might be  ""IT""  ",0.09889651383386369,0.12248133893363186,0.11681642
MagicMark,@MagicMark9,1594410313,1281758185020424193,Replying to @StephenKing He has broken through the bottom of the barrel #RuleOfLaw #WorstPresidentEver #DontheCon #PutinsGOP #VoteBidenToSaveAmerica #VoteBlueToEndThisNightmare @realDonaldTrump #TrumpCrimeFamily #MoneyLaundering #TrumpFailedAmerica #EnoughIsEnough #RIPGOP  ,0.03477876581996061,0.361768192800409,0.09911058
Joshua R.,@hsojlightfoot,1594410335,1281758185020424193,Replying to @StephenKing and @corybarlog His journey to become a dictator is now complete. This is what they do in Russia and North Korea. If you are the friend of the President the law doesn't apply to you. WTF!  ,0.0026931034587490575,0.397129438326596,0.18070251
Slip360,@Slipster_,1594410386,1281758185020424193,"Replying to @StephenKing Oh please God, let him be voted out.  ",0.04486975211825754,0.13773784261373923,0.062092148
Michael (),@quickbear,1594410404,1281758185020424193,Replying to @StephenKing  GIF ,0.14074956741991265,0.10212028214486892,0.013098685
RIZZOTTO,@SebastianRizzo6,1594410440,1281758185020424193,Replying to @StephenKing Cinnamon hitler  ,0.10861275635227993,0.09367469105104108,0.101294205
Frances,@Frances80016084,1594410441,1281758185020424193,"Replying to @StephenKing So I think Trump's playing Jenga with us. And just as watching George Floyd's murder pushed us collectively over the edge and into the streets, Trump's gonna go one block too far. Very unstable tower with lots of holes.  ",0.49258293128948877,0.34526673359714743,0.10648869
Justin Anderson,@AussieSamurai,1594410448,1281758185020424193,"Replying to @StephenKing I understand the focus on Trump, but the reality is whether it be Executive Orders or Presidential pardons/commutations these are bad ideas allowable from the US constitution and abused by Presidents of the past including ones you voted for.  ",0.0036880219758409515,0.5276744571647565,0.14342403
Ledsjam_Memes,@ledsjam_trump,1594410449,1281758185020424193,Replying to @StephenKing   ,0.14510263332204673,0.03352323163434365,0.015092164
Maine Independent.,@maine_moderate,1594410452,1281758185020424193,Replying to @StephenKing It looks like they both use the same products. They’re both   ,0.5839637793550562,0.150050263747205,0.01655873
Melissa,@Proudmimi12,1594410454,1281758185020424193,Replying to @StephenKing   ,0.14510263332204673,0.03352323163434365,0.015092164
Hugh Wouldathunkit,@HughThunkIt,1594410456,1281758185020424193,Replying to @StephenKing #ImpeachTrumpAgain #ImpeachBarrNOW pass it on.  ,0.08344513315318815,0.16857006593988735,0.08335588
J F Pirraglia,@dbi60,1594410458,1281758185020424193,Replying to @StephenKing how long before we all have a collective Howard Beal moment here? Because right now I'm mad as hell and I'm not gonna take this anymore!#evilbitchTrump MUST GO  ,0.03679685920240029,0.4352003810247951,0.9134761
TweetsAreRando85,@HollyEH1985,1594410473,1281758185020424193,Replying to @StephenKing  GIF ,0.14074956741991265,0.10212028214486892,0.013098685
ItsAlwaysAboutMarsha.DefeatFascism,@MarshaTally,1594410473,1281758185020424193,Replying to @StephenKing I keep feel like covid is captain trips and trump is Stillson. could we get a happy ending on this one dude?  ,0.07939639480680116,0.09536606038754,0.023465026
Ben Nelson,@howdyimben,1594410473,1281758185020424193,Replying to @StephenKing The guy literally looks like a comic book villain.  How much more obvious and transparent can this really be?!  ,0.37871814530888254,0.24227363496552612,0.12208761
G Callahan,@GCallahan2,1594410479,1281758185020424193,"Replying to @StephenKing Once Biden is elected & the DOJ/ Attorney General are ""refreshed,"" there's going to be a new look at Roger Stone. If they're able to prosecute him for something other than what he was pardoned for, lookout. I hope this happens. As you alluded, Trump has reached the bottom, not.  ",0.0008658924239206695,0.33464806061608116,0.024593117
jlbarry,@JenBFootscray,1594410481,1281758185020424193,Replying to @StephenKing He’s invented a new law of Physics. The anti-bounce.  ,0.03378383849062014,0.19164530538623345,0.04308412
𝑽𝒐𝒕𝒆 𝒕𝒉𝒆𝒎 𝑨𝑳𝑳 𝒐𝒖𝒕!,@roywlewis,1594410490,1281758185020424193,"Replying to @StephenKing It was actually @SenateGOP who commuted Roger Stone’s sentence.
It is @SenateGOP that is actively destroying the rule of law in America.
It is @SenateGOP that is murdering Americans by the hundreds of thousands.
We must 86@SenateGOP.  ",0.1673723271075444,0.8566367627145359,0.29287806
Greg Bessette,@gmonkeyb,1594410491,1281758185020424193,Replying to @StephenKing Yup. Gutter person! #DonaldTrumpisacriminal  ,0.07684844615932206,0.052290688674226836,0.6884805
Eddi Silva-Blauvelt,@GramZilla51,1594410492,1281758185020424193,"Replying to @StephenKing Birds of a feather,,,,,,,,,  ",0.08547030861568382,0.1304857194148868,0.041488335
Greg C.,@gregory1009,1594410496,1281758185020424193,Replying to @StephenKing Are you concerned yet @SenatorCollins ?  ,0.0734325210588586,0.1735796528538139,0.016138427
Margaret,@maggymeanders,1594410498,1281758185020424193,Replying to @StephenKing Honest. To. God. Every day the bottom falls out.  ,0.05493310986823252,0.14190514159437798,0.068049125
R Fernandez,@roseyfern,1594410504,1281758185020424193,Replying to @StephenKing He’s read the writing on the wall.  So now he has to take care of his buddies before losing in November.  ,0.40943054488712116,0.32515118493295403,0.026855458
izzy jones,@risingsun5169,1594410529,1281758185020424193,"Replying to @StephenKing Of course. 
Today was already so awesome and relaxing. I love good news.  ",0.014933842376106097,0.08002421209654194,0.010703084
mikeijames,@mikeijames,1594410533,1281758185020424193,Replying to @StephenKing there is no bottom. GIF ,0.33271092595838236,0.14852580787011152,0.023340713
MBW,@MBWsports,1594410533,1281758185020424193,Replying to @StephenKing He will get what he deserved  ,0.16675822351026962,0.18002746242956344,0.041282307
corgis rule,@cactuswrendo,1594410535,1281758185020424193,Replying to @StephenKing Pat your corgis and watch cartoons. This is Friday night toxic and we need a break. I just watched Betty White doc. Refreshing and I can take a breath. Cheers.  ,0.006625919812276449,0.15104331916467018,0.0130772935
Scream-lymi,@OKentwo,1594410536,1281758185020424193,"Replying to @StephenKing If you can commit crime and found guilty in court, & because you have money, powerful friends, can buy freedom, even when guilty... everything in this country is hopeless... for us poor people and for the honest rich ones as well. He is just playing and getting away with crime.  ",0.009918620040954647,0.5614677465923498,0.1448906
Gina Pieragostine,@reginapier,1594410545,1281758185020424193,Replying to @StephenKing Brazen MF.  ,0.173067861398675,0.09509776951856921,0.018743688
Francis Macomber,@fmacomber,1594410554,1281758185020424193,"Replying to @StephenKing Goes to his ""consciousness of guilt"".  ",0.3918415838549905,0.10071251657866273,0.015737886
Mike sierra,@candukap,1594410554,1281758185020424193,Replying to @StephenKing Vote  ,0.13252761268055563,0.050061411805743895,0.014740126
Jodi E Fritts,@JodiEjafo1231,1594410560,1281758185020424193,Replying to @StephenKing I agree. There is just no basement   ,0.09033439886911274,0.16531842872679048,0.0340392
Dean Auker,@AukerDean,1594410564,1281758185020424193,Replying to @StephenKing We all float down here  ,0.2210801388632695,0.10572580088391434,0.012325844
LeslieMcKinney3,@LeslieMcKinney3,1594410567,1281758185020424193,Replying to @StephenKing If you are a friend of his in trouble get in line and take a number! You’ve got till January for your pardon or commuting...  ,0.06286641360488648,0.42936410912030076,0.036012173
Johnd33P54g3,@shinajaj,1594410589,1281758185020424193,"Replying to @StephenKing LOL, these people can't even do 40 months. They should be grateful that real justice is not actually coming.  ",0.09285933663105674,0.3814866281108805,0.068044014
Rachel Kinsella,@Rdk706,1594410590,1281758185020424193,Replying to @StephenKing There is literally no bottom.  ,0.12883308297085005,0.14180955376047996,0.018227208
Lena Davydov,@lena_davydov,1594410608,1281758185020424193,"Replying to @StephenKing One would say it’s time to adjust our paradigm that assumes a psychopathic career criminal lives in a world that has gutters, or even the same gravitational pull.  ",0.2006797460696382,0.4603700317981492,0.021457687
LoudUntamedWoman!! (She/Her),@DizziChick25,1594410614,1281758185020424193,Replying to @StephenKing We are trapped in the limbo of the damned and the record is skipping.  ,0.6428343143954796,0.270662741225292,0.030543553
Zachary Johnson,@ZacharyEric69,1594410618,1281758185020424193,Replying to @StephenKing He swan dives lower  ,0.240103483208561,0.12260960555288462,0.1307916
Dr. G. A. Adams,@522GAdams,1594410624,1281758185020424193,Replying to @StephenKing “We have commutations down here...”  ,0.12675143593591678,0.192815413170499,0.037847046
LimeriTweets (WoodyGuth3),@LimeriTweets,1594410643,1281758185020424193,"Replying to @StephenKing By commuting the sentence of Stone
#DonaldTrump shows he’ll never atone
..he’ll burn out the candle
..of the Russian scandal
With actions no courts would condone.  ",0.41963119536567606,0.4514309436630811,0.12220705
John Fellenor,@Knowbody_Nose,1594410660,1281758185020424193,Replying to @StephenKing We all float down here.  ,0.22547373518959762,0.10736322878889526,0.00988161
ihateclownz,@ihateclownz2,1594410660,1281758185020424193,Replying to @StephenKing Cheetos always float to the top :(  ,0.5493002747474617,0.03264815877158711,0.019245623
Adina Placido,@11adina03,1594410673,1281758185020424193,"Replying to @StephenKing This guy is a criminal, a petty criminal on the biggest scale ever!! How can this happen? Has our government furtively been operating in illegalities all along under our noses?  Could he have that much dirt on all of them? It's not only creepy, it's scary as hell!!  ",0.2674596437768127,0.35956898215675404,0.55677426
Quentin Quarantino,@MorganProvost,1594410676,1281758185020424193,Replying to @StephenKing There is no bottom.  ,0.19307890865210778,0.14842520029286538,0.02228652
I’m frugal...not cheap!!,@AURaptor,1594410698,1281758185020424193,Replying to @StephenKing You aren’t helping  ,0.09636150440148372,0.08602798581930104,0.29539964
Ratus Catholicus,@RatusCatholicam,1594410700,1281758185020424193,"Replying to @StephenKing I heard you say this ""bounced lower"" saying on the radio while walking to lunch in Santa Cruz a decade ago. You were talking about dime novel sub-titles. I laughed so much.  ",0.29923870247888845,0.3668464380930138,0.03377816
Christopher D,@AlohaDeningham,1594410717,1281758185020424193,Replying to @StephenKing I'm looking forward to Kamala Harris prosecuting Trump.  ,0.09618617871114159,0.17395792874397478,0.033617835
anthony gunderman ,@Antgun12,1594410718,1281758185020424193,"Replying to @StephenKing and @corybarlog missed opportunity Mr. King....he ""sinks"" lower.  ",0.17194974190158352,0.36612584609519794,0.27395314
Greg,@gwad_1982,1594410725,1281758185020424193,"Replying to @StephenKing He's not going for the gutter, he's aiming for sewer lines.  ",0.06905733212937176,0.06352457848186477,0.058541548
Adam Falk _ educator,@afalk62,1594410752,1281758185020424193,Replying to @StephenKing You can’t even write a character like him. He’d sue for plagerism  ,0.24398798856198417,0.2592310993031307,0.21261811
