username,userid,time,id,text,davidson,waseem,fountana
Sassy ass Cindy,@CindyKendrick11,31516201,1255619297302450176,"Crooked Hillary endorsing creepy Joe - is like anal warts endorsing herpes! 

  ",0.17675413686587607,0.09113093323959989,0.28578022
RedState,@BordersUSA,1588178239,1255619297302450176,Replying to @CindyKendrick11   ,0.17570862623433728,0.03352323163434365,0.013035616
Anthony,@ajcotellese,1588178329,1255619297302450176,Replying to @CindyKendrick11  NEWS UPDATE .              JOE BIDEN THIS MORNING WAS SEEN LEAVING A BLOOD BANK FACILITY....THIS AFTERNOON A SPERM BANK FACILITY....PS: TELL TRUMP I GAVE BLOOD WITH MY LEFT HAND AND SPERM WITH MY RIGHT HAND. I CAN DO IT ALL!!  PLEASE VOTE FOR ME US SENATE!!   ,0.891441119480118,0.42690228151172177,0.06917566
American Gardner,@mrsunshine44,1588178335,1255619297302450176,Replying to @CindyKendrick11 And nobody has heard from the clap yet...  ,0.19306545274139286,0.3535960294999196,0.019720687
Sassy ass Cindy,@CindyKendrick11,1588178336,1255619297302450176,  ,1.7657473994997906e-130,0.018132475529601334,0.010068049
"Comrade Vinnie, Long live Xi! ",@Vinnieomire,1588178347,1255619297302450176,Replying to @CindyKendrick11 You just insulted both anal warts and herpes  ,0.30387910603252644,0.20581393319546654,0.1914177
Duane Haglund,@dhaglund0223,1588178363,1255619297302450176,Replying to @CindyKendrick11 Damn. The comparisons you come up with!   ,0.8215913906152281,0.10798282138906179,0.056686148
Jean ,@bugsiwhp,1588178365,1255619297302450176,Replying to @CindyKendrick11   ,0.17570862623433728,0.03352323163434365,0.013035616
Kevin Krause,@KevinKr94697642,1588178388,1255619297302450176,"Replying to @CindyKendrick11 Ok, that’s hilari-ous!  ",0.23009685761892393,0.08713304466586635,0.027713241
annabelle,@annabel60828753,1588178465,1255619297302450176,Replying to @CindyKendrick11   ,0.17570862623433728,0.03352323163434365,0.013035616
Jerry Austin,@limitedone141,1588178472,1255619297302450176,Replying to @CindyKendrick11   ,0.17570862623433728,0.03352323163434365,0.013035616
Jimmy P,@jbpwcc,1588178494,1255619297302450176,Replying to @CindyKendrick11   ,0.17570862623433728,0.03352323163434365,0.013035616
President Powery,@PresidentPowery,1588178518,1255619297302450176,Replying to @CindyKendrick11 and @SallySmasher daaaayyyyuuummm  ,0.11270246856266963,0.0773234559642824,0.027721504
Junior from Dallas 4 Trump,@JuniorfromDall1,1588178554,1255619297302450176,Replying to @CindyKendrick11 Omg ahahaha  ,0.19463772704373747,0.0513991762828182,0.02916117
Caesar Ramirez   ,@Christi10552493,1588178616,1255619297302450176,Replying to @CindyKendrick11 and @peitionnamecha1 lol  ,0.2193987430718756,0.15130283082321427,0.017192679
D.Bitt,@dean_bitt,1588178641,1255619297302450176,Replying to @CindyKendrick11 Good one   ,0.23572327564409726,0.08874503273655579,0.010928052
Rob Biats,@rwbiats,1588178646,1255619297302450176,Replying to @CindyKendrick11 A crook endorsing a pervert? Happens all the time in DC?  ,0.6752096759559162,0.08965314858302541,0.047307987
K,@kenevans8,1588178696,1255619297302450176,Replying to @CindyKendrick11   ,0.17570862623433728,0.03352323163434365,0.013035616
Paul H61,@H61Paul,1588178773,1255619297302450176,"Replying to @CindyKendrick11 
  ",0.18411149208995162,0.03352323163434365,0.013035616
Sassy ass Cindy,@CindyKendrick11,1588178774,1255619297302450176,Correct   ,0.18980321359915164,0.026869175013507926,0.11207053
Cam,@CamCamcary,1588178845,1255619297302450176,Replying to @CindyKendrick11 and @sie2sienna Oh my!   ,0.11837473936377303,0.08581443620439602,0.02853748
Tom,@twodog711,1588178858,1255619297302450176,Replying to @CindyKendrick11 Lol  ,0.3462396452360434,0.06826460251143289,0.011374345
Dr. Deb,@Deb_App,1588179058,1255619297302450176,Replying to @CindyKendrick11 and @MsSCJuly4th Sounds like you know a lot about it!   ,0.16603320862319962,0.1695121690706121,0.023885015
Mr Right a Patriot,@mrright95395897,1588179259,1255619297302450176,Replying to @CindyKendrick11 Sassy speaking the truth.  ,0.24346374333939483,0.08990652773594507,0.028844932
Mr. Ruger parler@av8tsHD gab @av8tsHD,@DoubleDogDareYu,1588179301,1255619297302450176,Replying to @CindyKendrick11 You crack me up every day!   lmao.  ,0.01226160135864571,0.11031704096583167,0.015297774
Charlie Haydon / Hardcrab222 on Parler,@haydon222,1588179323,1255619297302450176,Replying to @CindyKendrick11 Like having Syphilis and wanting gonorrhea.  ,0.12702422641800393,0.19196485980746228,0.04080559
Renee Svensson,@CRSvensson,1588179358,1255619297302450176,"Replying to @CindyKendrick11 and @LivePDDave1 Damn, that's a picture I'll never get out of my head.  ",0.7248802328714488,0.272649408416117,0.15672155
Rich McGuinness,@rykait0407,1588179508,1255619297302450176,"Replying to @CindyKendrick11 Now that’s funny, I don’t care who you are  ",0.37858150141939156,0.2631118010900307,0.029210646
Sassy ass Cindy,@CindyKendrick11,1588179525,1255619297302450176,Tee hee  ,0.21829729878799276,0.023213295855039905,0.030344322
forgotton man,@mjo97717249,1588179962,1255619297302450176,Replying to @CindyKendrick11 Yes I was gonna say that lol  ,0.43494434598733145,0.07902621785450559,0.034400556
fryedaddy,@Carlfrye12,1588180124,1255619297302450176,Replying to @CindyKendrick11   ,0.17570862623433728,0.03352323163434365,0.013035616
Steve Bjorgsen,@SBjorgsen,1588180232,1255619297302450176,Replying to @CindyKendrick11 Damn you’re funny .  ,0.6700438369219345,0.12040969688371099,0.036974136
Sassy ass Cindy,@CindyKendrick11,1588180242,1255619297302450176,Tee hee  ,0.21829729878799276,0.023213295855039905,0.030344322
deeram,@deeram77757049,1588180248,1255619297302450176,Replying to @CindyKendrick11 and @KevinRayWillis4   ,0.1750321284255934,0.09528882623420096,0.021092027
Edwin Frazier,@songldr,1588180301,1255619297302450176,Replying to @CindyKendrick11 You do have a way with words. Lol  ,0.489493989710606,0.12383278437774778,0.012134988
Harold Graham,@bronson69,1588180877,1255619297302450176,Replying to @CindyKendrick11 Hehehehe   ,0.12428546241946868,0.051183665886937416,0.017729314
