username,userid,time,id,text,davidson,waseem,fountana
Donald Trump Jr.,@DonaldJTrumpJr,31516201,1189659960516501504,"Seems totally normal for #QuidProJoe. No one in the media will have an issue with this so it’s ok. Quote TweetSaagar Enjeti@esaagar · Oct 30, 2019.@seanmdav: Democratic presidential candidate Joe Biden has a brand new Super PAC in his corner, and it’s being run by a registered foreign agent for the government of Azerbaijan https://thefederalist.com/2019/10/29/the-head-of-joe-bidens-new-super-pac-is-a-foreign-government-agent/… ",0.09510997995268938,0.6162274798747569,0.40657875
Ben Fletcher,@BenSFletcher,1572452221,1189659960516501504,"Replying to @DonaldJTrumpJr  Quote TweetBen Fletcher@BenSFletcher · Oct 28, 2019You could go buy Don Jr's book, or you could instead buy ""Figgered: My Dad Is Bigger Than Your Dad"" for 1/3 of the price and 100% of the satisfaction!

https://amazon.com/Figgered-Donald-Trump-Ben-Fletcher/dp/1916120628…Show this thread ",0.038864684566654706,0.3157296784449894,0.018514752
Impeachments* Are Forever,@OK_Dumbass,1572452231,1189659960516501504,"Replying to @DonaldJTrumpJr  Quote TweetImpeachments* Are Forever@OK_Dumbass · Oct 30, 2019Replying to @kylegriffin1Like ""collusion,"" Team Trump uses ""Quid pro quo"" because almost no one in Trumplandia has the foggiest idea what it means.

Let's call this what it is:  extortion & a violation of AT LEAST 5 federal felony statues:

18 USC 201
18 USC 371
18 USC 872
50 USC 3093
52 USC 30121
& more ",0.0015836281754496827,0.3473939201498327,0.1362061
tina collins palmer,@tinacollinspalm,1572452250,1189659960516501504,Replying to @DonaldJTrumpJr Trump2020   ,0.19321946936644374,0.07074697818088771,0.029019084
𝕛𝕚𝕞𝕞𝕪𝕠 Secret Space Lasers Sales & Service,@jimmyotx,1572452256,1189659960516501504,Replying to @DonaldJTrumpJr your daddy prefers the unregistered agents who get arrested  ,0.2514981137711879,0.302831665181008,0.03751171
Mad American,@xY9Anx5ayabX4Z5,1572452257,1189659960516501504,Replying to @DonaldJTrumpJr  GIF ,0.16271069913984276,0.10212028214486892,0.020927707
Tom H,@humourme1234,1572452272,1189659960516501504,Replying to @DonaldJTrumpJr You and your family are garbage  ,0.15083947614580553,0.1524275553972105,0.94216686
tina collins palmer,@tinacollinspalm,1572452279,1189659960516501504,Replying to @DonaldJTrumpJr   ,0.1676104828261104,0.03352323163434365,0.015743507
Mankrik’s Wife,@Marty_Shannon,1572452283,1189659960516501504,Replying to @DonaldJTrumpJr You probably wouldn’t have to grift if you spent as much time complaining about the media on twitter as you did actually running the business you’re supposed to be in charge of  ,0.31008338677166225,0.3099681767005038,0.067568965
Andrea Bailey,@Teetee2124A,1572452294,1189659960516501504,Replying to @DonaldJTrumpJr  GIF ,0.16271069913984276,0.10212028214486892,0.020927707
MAGAmang ,@MAGAmang,1572452295,1189659960516501504,Replying to @DonaldJTrumpJr Nobody grifts like #QuidProJoe!  ,0.18121058082057584,0.1434876466196532,0.4441806
Marco,@Marco4074,1572452297,1189659960516501504,Replying to @DonaldJTrumpJr We are sick of your daily verbal diarrhea. Keep your 's...t' to your self!!!!  ,0.7848851089824886,0.2825291338672733,0.8785951
Max T. Cat,@MaxTCat1,1572452302,1189659960516501504,Replying to @DonaldJTrumpJr did trump org borrow money from russians?  ,0.34023378416624195,0.17521388565418164,0.055203687
jess,@jess88673467,1572452315,1189659960516501504,"Replying to @DonaldJTrumpJr If it’s what you say it is, I love it! Especially for the fall.  ",0.25891233935563807,0.18857328344652752,0.014532356
Dirty Donald Trump (DDT),@DeviousDonald,1572452323,1189659960516501504,"Replying to @DonaldJTrumpJr Tough-talking DonnyJ sounds like his whimpering whinny self again - what happened, dont want to negatively impact 'book' sales - BWAAHAHHAHAHAHA.

#TrumpFraud #TrumpMeltdown #TrumpHole #NeverTrump #GOP_MIA  ",0.0257472268184686,0.19905127013905508,0.06001923
"Incite = ""indite""",@PeachyMint2,1572452331,1189659960516501504,Replying to @DonaldJTrumpJr  GIF ,0.16271069913984273,0.10212028214486892,0.020927707
MJG ,@MJGWrites,1572452332,1189659960516501504,"Replying to @DonaldJTrumpJr ""Daddy, I rhymed Quid Pro with Joe, do you love me now?""  ",0.14659481905356467,0.1530646074529887,0.032351762
Republican Rebuilders,@GCapitalism,1572452336,1189659960516501504,Replying to @DonaldJTrumpJr The future of your father’s position in office is in jeopardy. The Biden issue is legitimate; colluding with a foriegn government to use it to damage your opponent is not.  ,0.22245224122059457,0.373179400306594,0.032039963
